invCode,invPercentage,invCapStock,invIndustry
002460,8.19,135592.22,C
601012,6.4,386639.48,C
300568,3.71,44853.96,C
600519,3.7,125619.78,C
600893,3.43,266559.42,C
300601,3.43,68599.98,C
601318,3.42,1828024.14,J
000858,3.17,388160.8,C
300059,3.0,861313.65,J
601166,2.9,2077419.08,J
002352,2.86,455644.05,G
603290,2.79,16000.0,C
300037,2.7,41079.29,C
603501,2.67,86759.94,C
600741,2.67,315272.4,C
601888,2.61,195247.55,L
601899,2.58,2547324.05,B
603533,2.57,43889.68,I
000001,2.5,1940591.82,J
002311,2.27,166121.08,C
600597,2.18,122448.75,C
603806,2.17,76955.24,C
601009,2.15,1000701.7,J
603883,2.04,40873.21,F
600862,1.95,139304.91,C
600036,1.83,2521984.56,J
600276,1.81,533171.7,C
300390,1.71,55127.6,C
000739,1.62,117852.35,C
601601,1.6,962034.15,J
002601,1.42,223961.03,C
000651,1.15,601573.09,C
002938,0.92,231143.08,C
300413,0.84,178037.75,R
002600,0.83,705795.41,C
601336,0.71,311954.66,J
688023,0.6,7407.41,I
600887,0.51,608262.48,C
003029,0.03,18040.0,I
003028,0.03,10960.0,C
605277,0.01,13344.0,C
003030,0.01,12478.0,C
003031,0.01,10666.67,C
