invCode,invPercentage,invCapStock,invIndustry
600436,2.98,60331.72,801150
002179,2.74,110088.37,801740
600015,2.29,1538722.4,801780
601998,2.28,4893483.96,801780
002841,2.1,66803.1,801080
600276,1.98,533171.7,801150
002032,1.98,82108.39,801110
601607,1.92,284208.93,801150
600919,1.91,1476960.78,801780
601985,1.89,1745601.78,801160
601229,1.87,1420652.87,801780
601169,1.87,2114298.43,801780
600177,1.87,462900.3,801180
601398,1.87,35640625.71,801780
600016,1.87,4378241.85,801780
600886,1.86,696587.33,801160
600000,1.85,2935214.44,801780
601288,1.85,34998303.39,801780
601658,1.85,9238396.76,801780
601766,1.84,2869886.41,801890
002352,1.84,455644.05,801170
601933,1.84,951628.56,801200
600027,1.84,986297.67,801160
600025,1.84,1800000.0,801160
600809,1.84,87152.83,801120
601988,1.83,29438779.12,801780
601006,1.83,1486679.15,801170
600848,1.83,210206.82,801180
600332,1.82,162579.09,801150
601857,1.82,18302097.78,801020
600900,1.82,2274185.92,801160
600085,1.79,137147.03,801150
601088,1.77,1986852.0,801020
603288,1.71,324044.32,801120
600028,1.7,12107120.96,801030
002024,1.64,931003.97,801200
603899,1.62,92742.76,801140
603658,1.61,45097.87,801150
601100,1.51,130536.0,801890
601818,1.46,5403191.38,801780
601009,1.38,1000701.7,801780
000895,1.27,346466.12,801120
600050,1.23,3101185.33,801770
601668,1.13,4196507.15,801720
601166,1.11,2077419.08,801780
600637,1.09,341450.02,801760
000538,1.06,127740.33,801150
601727,0.95,1570597.11,801730
600998,0.89,187381.69,801150
600011,0.86,1569809.34,801160
002311,0.85,166121.08,801010
000661,0.8,40472.03,801150
601225,0.74,1000000.0,801020
600655,0.67,388349.85,801200
002271,0.63,234773.72,801710
000671,0.54,413815.04,801180
603156,0.47,126549.36,801120
000333,0.44,704143.57,801110
600547,0.42,447342.95,801050
600009,0.4,192695.84,801170
002607,0.38,616739.94,801760
000786,0.29,168950.78,801710
000703,0.28,368164.54,801030
002773,0.28,91946.4,801150
601800,0.26,1616571.14,801720
002415,0.22,934341.72,801080
600522,0.2,306615.44,801770
002624,0.14,193996.81,801760
000338,0.08,793387.39,801880
002007,0.06,182436.67,801150
605155,0.02,9600.0,801030
