invCode,invPercentage,invCapStock,invIndustry
600809,10.09,87152.83,C
600519,9.84,125619.78,C
000858,9.55,388160.8,C
600031,6.44,848405.84,C
600521,5.72,145460.8,C
300702,5.5,19332.36,C
600570,5.49,104409.08,I
000568,5.14,146475.25,C
002410,5.02,118701.24,I
600036,4.68,2521984.56,J
000651,4.2,601573.09,C
600989,3.36,733336.0,C
/01579,3.11,104690.0,X
/00700,3.09,959452.4331,X
/00268,3.0,346876.2571,X
601888,2.75,195247.55,L
/06098,2.33,298693.8304,X
300760,1.91,121569.13,C
/02269,1.55,421014.8571,X
601995,0.16,482725.69,J
300999,0.04,542159.15,C
688221,0.03,35976.0,C
300896,0.02,21636.0,C
688617,0.01,6667.0,C
688686,0.01,8247.57,C
300894,0.01,40500.0,C
