invCode,invPercentage,invCapStock,invIndustry
000049,9.07,20719.77,801080
300750,7.82,232947.4,801730
603659,5.08,49602.84,801730
300618,5.06,30961.71,801050
002709,5.03,54612.94,801030
600699,4.95,136808.46,801880
300769,4.95,8962.47,801030
002850,4.49,23292.05,801730
688116,4.37,23185.81,801030
688388,4.31,23087.6,801050
300037,4.2,41079.29,801030
300224,3.61,82021.66,801050
000547,3.5,160542.16,801740
002812,3.08,88762.98,801030
300454,2.78,41380.83,801750
603179,2.73,36907.81,801880
002179,2.62,110088.37,801740
300674,2.4,41336.52,801750
600741,1.83,315272.4,801880
300078,1.66,86941.15,801750
300188,1.65,80672.68,801750
300036,1.57,45243.52,801750
300496,1.47,42315.01,801750
600499,1.33,188841.99,801890
601799,0.14,27615.52,801880
002230,0.07,222473.77,801750
300888,0.03,42649.23,801130
688536,0.03,8000.0,801080
300999,0.02,542159.15,801010
688063,0.02,15484.45,801730
688301,0.01,7254.78,801150
688505,0.01,104300.0,801150
688085,0.01,20533.35,801150
300896,0.01,21636.0,801150
688222,0.01,40068.0,801150
688596,0.01,25650.0,801890
